# a0 a2 a4 a6 delta sigmaJ
1.00000 -0.16516 -0.07319 0.00000 -20.52 3.00
1.00000 -0.16522 -0.07318 0.00000 -20.40 3.00
1.00000 -0.16528 -0.07318 0.00000 -20.28 3.00
1.00000 -0.16534 -0.07318 0.00000 -20.16 3.00
1.00000 -0.16540 -0.07318 0.00000 -20.04 3.00
1.00000 -0.16546 -0.07317 0.00000 -19.92 3.00
1.00000 -0.16552 -0.07317 0.00000 -19.80 3.00
1.00000 -0.16558 -0.07317 0.00000 -19.68 3.00
1.00000 -0.16565 -0.07317 0.00000 -19.56 3.00
1.00000 -0.16571 -0.07317 0.00000 -19.44 3.00
1.00000 -0.16577 -0.07316 0.00000 -19.32 3.00
1.00000 -0.16584 -0.07316 0.00000 -19.20 3.00
1.00000 -0.16591 -0.07316 0.00000 -19.08 3.00
1.00000 -0.16597 -0.07316 0.00000 -18.96 3.00
1.00000 -0.16604 -0.07315 0.00000 -18.84 3.00
1.00000 -0.16611 -0.07315 0.00000 -18.72 3.00
1.00000 -0.16618 -0.07315 0.00000 -18.60 3.00
1.00000 -0.16625 -0.07314 0.00000 -18.48 3.00
1.00000 -0.16632 -0.07314 0.00000 -18.36 3.00
1.00000 -0.16639 -0.07314 0.00000 -18.24 3.00
1.00000 -0.16646 -0.07314 0.00000 -18.12 3.00
1.00000 -0.16653 -0.07313 0.00000 -18.00 3.00
1.00000 -0.16661 -0.07313 0.00000 -17.88 3.00
1.00000 -0.16668 -0.07313 0.00000 -17.76 3.00
1.00000 -0.16676 -0.07312 0.00000 -17.64 3.00
1.00000 -0.16683 -0.07312 0.00000 -17.52 3.00
1.00000 -0.16691 -0.07312 0.00000 -17.40 3.00
1.00000 -0.16699 -0.07311 0.00000 -17.28 3.00
1.00000 -0.16707 -0.07311 0.00000 -17.16 3.00
1.00000 -0.16715 -0.07311 0.00000 -17.04 3.00
1.00000 -0.16723 -0.07310 0.00000 -16.92 3.00
1.00000 -0.16731 -0.07310 0.00000 -16.80 3.00
1.00000 -0.16740 -0.07310 0.00000 -16.68 3.00
1.00000 -0.16748 -0.07309 0.00000 -16.56 3.00
1.00000 -0.16757 -0.07309 0.00000 -16.44 3.00
1.00000 -0.16765 -0.07308 0.00000 -16.32 3.00
1.00000 -0.16774 -0.07308 0.00000 -16.20 3.00
1.00000 -0.16783 -0.07308 0.00000 -16.08 3.00
1.00000 -0.16792 -0.07307 0.00000 -15.96 3.00
1.00000 -0.16801 -0.07307 0.00000 -15.84 3.00
1.00000 -0.16810 -0.07306 0.00000 -15.72 3.00
1.00000 -0.16820 -0.07306 0.00000 -15.60 3.00
1.00000 -0.16829 -0.07305 0.00000 -15.48 3.00
1.00000 -0.16839 -0.07305 0.00000 -15.36 3.00
1.00000 -0.16848 -0.07304 0.00000 -15.24 3.00
1.00000 -0.16858 -0.07304 0.00000 -15.12 3.00
1.00000 -0.16868 -0.07303 0.00000 -15.00 3.00
1.00000 -0.16878 -0.07303 0.00000 -14.88 3.00
1.00000 -0.16889 -0.07302 0.00000 -14.76 3.00
1.00000 -0.16899 -0.07302 0.00000 -14.64 3.00
1.00000 -0.16910 -0.07301 0.00000 -14.52 3.00
1.00000 -0.16920 -0.07301 0.00000 -14.40 3.00
1.00000 -0.16931 -0.07300 0.00000 -14.28 3.00
1.00000 -0.16942 -0.07299 0.00000 -14.16 3.00
1.00000 -0.16954 -0.07299 0.00000 -14.04 3.00
1.00000 -0.16965 -0.07298 0.00000 -13.92 3.00
1.00000 -0.16976 -0.07298 0.00000 -13.80 3.00
1.00000 -0.16988 -0.07297 0.00000 -13.68 3.00
1.00000 -0.17000 -0.07296 0.00000 -13.56 3.00
1.00000 -0.17012 -0.07295 0.00000 -13.44 3.00
1.00000 -0.17024 -0.07295 0.00000 -13.32 3.00
1.00000 -0.17037 -0.07294 0.00000 -13.20 3.00
1.00000 -0.17049 -0.07293 0.00000 -13.08 3.00
1.00000 -0.17062 -0.07292 0.00000 -12.96 3.00
1.00000 -0.17075 -0.07292 0.00000 -12.84 3.00
1.00000 -0.17088 -0.07291 0.00000 -12.72 3.00
1.00000 -0.17101 -0.07290 0.00000 -12.60 3.00
1.00000 -0.17115 -0.07289 0.00000 -12.48 3.00
1.00000 -0.17129 -0.07288 0.00000 -12.36 3.00
1.00000 -0.17143 -0.07287 0.00000 -12.24 3.00
1.00000 -0.17157 -0.07286 0.00000 -12.12 3.00
1.00000 -0.17171 -0.07285 0.00000 -12.00 3.00
1.00000 -0.17186 -0.07284 0.00000 -11.88 3.00
1.00000 -0.17201 -0.07283 0.00000 -11.76 3.00
1.00000 -0.17216 -0.07282 0.00000 -11.64 3.00
1.00000 -0.17231 -0.07281 0.00000 -11.52 3.00
1.00000 -0.17247 -0.07280 0.00000 -11.40 3.00
1.00000 -0.17263 -0.07279 0.00000 -11.28 3.00
1.00000 -0.17279 -0.07277 0.00000 -11.16 3.00
1.00000 -0.17296 -0.07276 0.00000 -11.04 3.00
1.00000 -0.17312 -0.07275 0.00000 -10.92 3.00
1.00000 -0.17329 -0.07274 0.00000 -10.80 3.00
1.00000 -0.17347 -0.07272 0.00000 -10.68 3.00
1.00000 -0.17364 -0.07271 0.00000 -10.56 3.00
1.00000 -0.17382 -0.07269 0.00000 -10.44 3.00
1.00000 -0.17400 -0.07268 0.00000 -10.32 3.00
1.00000 -0.17419 -0.07266 0.00000 -10.20 3.00
1.00000 -0.17438 -0.07264 0.00000 -10.08 3.00
1.00000 -0.17457 -0.07263 0.00000 -9.96 3.00
1.00000 -0.17476 -0.07261 0.00000 -9.84 3.00
1.00000 -0.17496 -0.07259 0.00000 -9.72 3.00
1.00000 -0.17516 -0.07257 0.00000 -9.60 3.00
1.00000 -0.17537 -0.07255 0.00000 -9.48 3.00
1.00000 -0.17558 -0.07253 0.00000 -9.36 3.00
1.00000 -0.17579 -0.07251 0.00000 -9.24 3.00
1.00000 -0.17601 -0.07249 0.00000 -9.12 3.00
1.00000 -0.17623 -0.07246 0.00000 -9.00 3.00
1.00000 -0.17645 -0.07244 0.00000 -8.88 3.00
1.00000 -0.17668 -0.07242 0.00000 -8.76 3.00
1.00000 -0.17692 -0.07239 0.00000 -8.64 3.00
1.00000 -0.17715 -0.07236 0.00000 -8.52 3.00
1.00000 -0.17740 -0.07233 0.00000 -8.40 3.00
1.00000 -0.17764 -0.07230 0.00000 -8.28 3.00
1.00000 -0.17789 -0.07227 0.00000 -8.16 3.00
1.00000 -0.17815 -0.07224 0.00000 -8.04 3.00
1.00000 -0.17841 -0.07221 0.00000 -7.92 3.00
1.00000 -0.17867 -0.07217 0.00000 -7.80 3.00
1.00000 -0.17894 -0.07214 0.00000 -7.68 3.00
1.00000 -0.17922 -0.07210 0.00000 -7.56 3.00
1.00000 -0.17950 -0.07206 0.00000 -7.44 3.00
1.00000 -0.17978 -0.07201 0.00000 -7.32 3.00
